Post,Group,Date
USA Insurance company - Smith brothers File tree and some proofs,ragnarlocker,46:52.3
Huge drama for Tap Air Portugal,ragnarlocker,49:35.8
NCG Medical,hiveleak,45:53.5
MEIJI.COM.SG,LockBit3.0,24:19.9
Magnachem,bianlian,52:30.2
Alegria Family Services,bianlian,52:28.6
"WWAY-TV, LLC",bianlian,52:27.2
Ramada Hervey Bay Hotel Resort,bianlian,52:25.7
Community Dental Partners,bianlian,52:24.1
4cRisk,bianlian,52:22.4
Captec-group,bianlian,52:20.2
GOV Brazil,everest,55:05.2
PRICEDEX.COM FILES PART14 - 10.0.10.1\E$\Shares\projects\Marketing and Business\Opticat\ P,clop,54:58.0
ORBITELECTRIC.COM FILES PART21 - 192.168.10.122\C$\Users\RAMONH\Desktop\Kashmal\ PUBLISHED,clop,54:56.3
FERRAN-SERVICES.COM FILES PART14 - D\ PUBLISHED,clop,54:54.6
SPINNEYS.COM FILES PART6 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\EXPENSES(EJ)\S,clop,54:52.3
LATOURNERIE-WOLFROM.COM FILES PART14 - 10.100.57.131\C$\Users\CW\Documents\ PUBLISHED,clop,54:50.8
FTSUMNERK12.COM FILES PART14 - 192.168.0.244\StudentShare\GATE\Fikany YB\ PUBLISHED,clop,54:49.1
APPLEXUS.COM FILES PART6 - 192.168.4.4\D$\COMPANIES\Applexus Software Solutions\HR\ PUBLIS,clop,54:46.7
skupstina,cuba,51:41.2
Justman Packaging & Display Information,alphv,52:24.0
Laferté,alphv,52:22.3
Josef Saller Services e.K. - Saller Bau,alphv,52:20.3
Spalding Grammar School,bianlian,44:34.9
Rudman,bianlian,44:32.7
The Preston Partnership,bianlian,44:31.0
Advance Corporation,bianlian,44:28.0
International Custom Controls,bianlian,44:26.0
currierryan.com,LockBit3.0,55:44.4
ygboulons.com,LockBit3.0,48:49.2
uplexis.com.br,LockBit3.0,48:47.6
embalajescapsa.com,LockBit3.0,48:26.0
accionplus.com,LockBit3.0,48:23.8
Torin Drive,blackbyte,49:12.8
Grande Stevens,blackbyte,49:10.2
goodwillnm.org,LockBit3.0,40:19.1
thininfra.nl,LockBit3.0,47:12.1
stjohnvianney.org,LockBit3.0,47:09.9
stevesilvaplumbing.com,LockBit3.0,47:08.1
statravel.de,LockBit3.0,47:06.6
sportlavit.nl,LockBit3.0,47:05.2
perteet.com,LockBit3.0,47:03.4
microdepot.com,LockBit3.0,47:01.9
lenax.com,LockBit3.0,46:59.9
kkcsworld.com,LockBit3.0,46:58.2
galenica.ma,LockBit3.0,46:56.6
draperyconceptsny.com,LockBit3.0,46:54.8
cenviro.com,LockBit3.0,46:52.4
americantilestone.com,LockBit3.0,46:49.8
trufab.com,LockBit3.0,45:01.2
canteen.com,LockBit3.0,44:54.3
hikadikoy.com,LockBit3.0,58:59.8
centrodsr.it,LockBit3.0,58:57.4
Lampton School,Vice Society,03:36.4
Frances King School of English,Vice Society,03:33.6
Altice International,hiveleak,21:30.9
ANGT - HACKED. MORE THEN 700 GB SENSITIVE DATA LEAKED,lv,58:41.4
growag.ch,LockBit3.0,02:38.0
Baton Rouge General,hiveleak,59:11.1
Enso Detego,donutleaks,44:25.7
Sando,donutleaks,44:24.2
CMZ UK,donutleaks,44:22.4
PlanET Biogas Solutions,donutleaks,44:20.2
Sheppard Robson,donutleaks,44:18.5
Bombardier Recreational Products (BRP) - BONUS CONTENT (!!!),ransomexx,44:10.9
