Post,Group,Date
Los Angeles Unified School District,Vice Society,32:12.7
kimed.pl,LockBit3.0,49:48.2
hriindia.com,LockBit3.0,49:45.8
aidsalabama.org,LockBit3.0,49:43.6
Mansfield Independent School District (MISD),hiveleak,49:38.1
toyotaalabang.com.ph,LockBit3.0,38:18.5
Karl Gem?den GmbH & Co. KG,blackbasta,33:29.2
Stages Pediatric Care,everest,51:50.6
Associated Bag,blackbasta,44:58.1
samyang.com,LockBit3.0,33:35.2
ID-ware,alphv,54:22.4
NJVC,alphv,54:20.3
Health Care Solutions Group,donutleaks,39:45.9
Evo exhibits,donutleaks,42:28.9
"Southwell, Inc.",hiveleak,13:24.8
bew.co.th,LockBit3.0,19:48.1
hdhopwood.com,LockBit3.0,14:34.3
Ministerio de Relaciones Exteriores,onyx,14:30.9
vitalityhp.net,LockBit3.0,19:31.8
ginspectionservices,cuba,19:20.6
AES Clean Technology,blackbasta,33:37.9
Etna GmbH,blackbasta,33:35.8
Hendry Regional Medical Center,hiveleak,33:31.1
Cremo,blackbasta,13:09.3
STADLER,blackbasta,13:07.3
yehu.org,LockBit3.0,15:04.7
TAKAO-UK,hiveleak,14:59.3
GFG,hiveleak,14:57.6
TSMTU,hiveleak,14:55.6
JANMARINI,hiveleak,14:52.8
bliss-d.com,LockBit3.0,11:50.9
"Nihonsakari Co. , Ltd",LockBit3.0,00:21.2
Samuel Ryder Academy,Vice Society,00:17.5
FederalBank/Fedfina DataBase Leak,everest,01:44.3
KOLLITSCH,blackbasta,20:06.7
quantumce.com,LockBit3.0,11:37.0
multicareinc.com,LockBit3.0,11:35.2
melorita.com,LockBit3.0,11:33.1
SolarCraft,alphv,21:19.7
Longhorn Investments,alphv,02:30.9
( POST HAS BEEN UPDATED 400GB LEAK AVAILABLE N) County Suffolk and contractors,alphv,02:29.2
Boyes Turner LLP,alphv,02:26.2
rbroof.com,LockBit3.0,03:41.8
Cornerstone Insurance Group,blackbasta,07:54.0
School of Oriental African Studies,Vice Society,17:30.2
idtech.com.tw,LockBit3.0,17:16.9
congerbuilt.com,LockBit3.0,18:56.6
GRUPO COPISA,sparta,18:23.9
webnordeste.com.br,LockBit3.0,18:21.4
thorguard.com,LockBit3.0,18:17.0
www.bbadmin.com,redalert,14:23.8
BHARBERT,hiveleak,14:16.6
Ministerio de Econom? Argentina,everest,14:08.4
yourprivateitaly.com,LockBit3.0,18:28.2
uide.edu.ec,LockBit3.0,18:26.5
scrd.ca,LockBit3.0,18:24.6
parrottsims.com,LockBit3.0,18:22.4
ifwglobal.com,LockBit3.0,18:20.2
Admiral Merchants,blackbasta,18:16.5
"Foreman Watson Land Title, LLC.",blackbasta,18:14.1
CORNERSTONE,blackbasta,28:19.0
Sierra College,Vice Society,19:26.9
Sigmund Software,hiveleak,23:27.6
elementnor.no,LockBit3.0,13:05.5
psi.com.tw,LockBit3.0,05:45.6
okibrasil.com,LockBit3.0,05:43.6
mts.mektec.com,LockBit3.0,05:41.1
ducanh.com,LockBit3.0,05:38.6
CARITAS,alphv,05:34.5
TAP Air Leak of more than 1.5 million of customers and many other.,ragnarlocker,05:23.3
franckbeun.fr,LockBit3.0,24:33.8
Government Brazil,everest,21:40.6
New York Racing Association,hiveleak,16:45.4
hering-heinz.de,LockBit3.0,09:51.7
midway,blackbasta,09:48.6
Biggest News,blackbyte,57:01.4
South Pacific Inc,blackbyte,56:58.1
trisupplyhome.com,alphv,21:08.5
"First bounty payout $50,000",LockBit3.0,52:09.8
Laddawn Inc.,lorenz,12:42.7
scottobrothers.com,LockBit3.0,46:53.2
kaffeeberlin.com,LockBit3.0,46:51.2
equatortrustees.com,LockBit3.0,46:31.8
ces-conditionneur.fr,LockBit3.0,46:29.6
software-line.it,LockBit3.0,31:13.9
asecna.org,LockBit3.0,58:12.1
County Suffolk and contractors,alphv,58:08.4
Bell Technical Solutions,hiveleak,58:01.1
dss-cz.com,LockBit3.0,57:11.8
Nextlabs,0mega,59:09.5
midlandplastics.com,LockBit3.0,59:06.0
nakamuracorp.co.jp,LockBit3.0,16:27.5
FONTAINEBLEAU,hiveleak,16:21.2
FederalBank/Fedfina.part5,everest,01:59.4
medical69.com,LockBit3.0,10:42.3
d-securite.com,LockBit3.0,10:40.3
aliat.group,LockBit3.0,10:38.3
Triten,alphv,10:35.2
southamptoncounty.org,LockBit3.0,11:12.7
makler.com.ve,LockBit3.0,11:10.4
independence.com.co,LockBit3.0,11:08.7
cnachile.cl,LockBit3.0,11:06.0
markherder.com,LockBit3.0,00:03.9
inspecshawaii.com,LockBit3.0,21:09.3
HAYAT GROUP,alphv,20:59.9
MR. WONDERFUL,sparta,00:19.1
AUTO88,sparta,00:17.5
FONT PACKAGING,sparta,00:15.8
"DYNAM JAPAN HOLDINGS CO., LTD",cheers,00:12.0
Tri-Supply,alphv,04:17.6
ville-faulquemont.fr,LockBit3.0,50:39.9
thezincgroup.com,LockBit3.0,50:38.4
taxprepandmore.com,LockBit3.0,50:36.7
tapcocu.org,LockBit3.0,50:35.2
sva-avignon.concession-landrover.fr,LockBit3.0,50:33.8
sarassure.fr,LockBit3.0,50:31.9
quintal.com.co,LockBit3.0,50:30.3
pays-colombey-sudtoulois.fr,LockBit3.0,50:28.0
mj-donnais.fr,LockBit3.0,50:26.2
maleosante.fr,LockBit3.0,50:24.6
maisonloisy.fr,LockBit3.0,50:22.7
mackenzie-law.co.uk,LockBit3.0,50:21.1
lagence33.com,LockBit3.0,50:19.1
kwp.at,LockBit3.0,50:17.1
kcgreenholdings.com,LockBit3.0,50:15.4
jt-engineering.com,LockBit3.0,50:13.8
euromip.fr,LockBit3.0,50:11.8
euro-modules.fr,LockBit3.0,50:10.3
daune.org,LockBit3.0,50:08.8
cultivar.net,LockBit3.0,50:06.8
cmb-artimmo.com,LockBit3.0,50:05.5
cityofbartlett.org,LockBit3.0,50:03.2
camdomain.com,LockBit3.0,50:01.2
artdis.fr,LockBit3.0,49:59.5
aipcenergy.com,LockBit3.0,49:56.7
idealtridon.com,LockBit3.0,04:29.2
GHT CORP,alphv,04:25.1
Fiveninefive,alphv,04:22.9
PCSupport,alphv,04:21.2
Hayat,alphv,04:19.3
The Checker Transportation Group,alphv,04:16.8
Spa,bianlian,52:40.6
Gallery Hotels,sparta,56:07.1
Auto88,sparta,56:05.4
Font Packaging,sparta,56:03.9
Ferrer&Ojeda,sparta,56:02.1
Tema Litoclean Group,sparta,56:00.5
Grupo Galilea,sparta,55:58.9
Fundaci? Sant Francesc d'Ass?,sparta,55:56.4
INDIBA,sparta,55:53.5
RIVISA,sparta,55:52.0
RABAT,sparta,55:50.3
COMSA CORPORATION,sparta,55:48.6
SERCOM,sparta,55:46.2
groupg4.com,redalert,51:13.2
bakkerheftrucks.com,LockBit3.0,51:09.6
bakkerheftrucks.local,LockBit3.0,00:45.7
OakBend Medical (USA),daixin,04:54.2
omegaservices.com.au,LockBit3.0,46:00.5
TAP AIR PORTUGAL - 115k personal data leak,ragnarlocker,52:37.6
frigobandeira.com,LockBit3.0,11:03.8
ch-sf.fr,LockBit3.0,11:00.8
ch-sf.fr (old),LockBit3.0,58:40.2
hamiota.com,LockBit3.0,59:04.4
canadiansolar.com,LockBit3.0,58:40.6
aralaw.cr,LockBit3.0,58:38.7
Davin Industries Ltd,blackbyte,58:22.9
TIB Development Bank,blackbyte,58:19.7
marugokiso.co.jp,LockBit3.0,12:29.9
lacalera.pe,LockBit3.0,12:27.9
diakonissen-riehen.ch,LockBit3.0,12:25.6
dcashpro.com,LockBit3.0,12:23.8
connectvitypoint.com,LockBit3.0,12:22.0
kisan.com.tr,LockBit3.0,05:47.7
kortrijkserijschool.be,LockBit3.0,23:32.0
MGSMFG,blackbasta,15:54.3
EMEPLATING,blackbasta,54:53.6
STEVENG,blackbasta,54:51.4
SHI,blackbasta,54:46.2
marcopolohotels.com,LockBit3.0,56:40.7
hunters.com,LockBit3.0,56:38.1
misumi.com.tw,LockBit3.0,56:33.3
metaage.com.tw,LockBit3.0,56:30.9
DDoS instead of the Discuss - Nice try TAP Air,ragnarlocker,33:34.1
California-Oregon Telecommunications Company,hiveleak,07:00.1
lafondasantafe.com,LockBit3.0,07:36.2
gavresorts.com.br,LockBit3.0,07:34.0
sbr-zwiesel.de,LockBit3.0,59:07.6
pdh.com.tw,LockBit3.0,59:05.5
monnensenpartners.be,LockBit3.0,59:00.6
CleanTech,blackbasta,04:37.6
augustacoop,blackbasta,04:13.8
sportscity.com.tw,LockBit3.0,06:19.2
finnco.eu,LockBit3.0,06:16.6
psico,blackbasta,06:13.4
www3.comune.gorizia.it,LockBit3.0,51:33.9
kamut.com,LockBit3.0,51:31.3
divultec.pt,LockBit3.0,51:28.8
eneva.com.br,LockBit3.0,55:31.8
Speed-Buster,blackbyte,06:53.7
"Cpl Architects, Engineers",blackbasta,01:48.3
C2CORP,blackbasta,01:46.6
Elmbrook Schools,Vice Society,01:42.1
hmets.com,LockBit3.0,55:34.2
floresfunza.com,LockBit3.0,55:31.6
Baer's,bianlian,56:59.2
Infinitely Virtual,bianlian,56:56.9
Fundo Nacional de Desenvolvimento da Educa?o,ransomexx,48:09.5
TAP Air - First Facts,ragnarlocker,01:58.1
peakinternational.com,LockBit3.0,49:50.0
Eurocell,hiveleak,14:13.9
Instituto Agrario Dominicano,quantum,51:08.7
Moon Area School District,Vice Society,52:29.3
An Japan Game Halls Operator,cheers,54:57.5
Moscone Center,quantum,54:50.6
Monarchnc,donutleaks,50:37.3
Alan Smith,blackbyte,03:13.8
Midea Group,revil,45:01.3
solidatech.com,LockBit3.0,43:18.8
precision.com,LockBit3.0,43:16.9
hspatent.com,LockBit3.0,43:14.7
