Post,Group,Date
Centro Médico Virgen De La Caridad,hiveleak,49:38.8
sickkids.ca,LockBit3.0,50:24.9
http://www.qut.edu.au,Royal,11:00.9
hacla.org,LockBit3.0,10:55.8
http://www.agostini.com,Royal,58:26.6
presco.com,LockBit3.0,46:17.3
Camst Group,hiveleak,05:03.5
http://www.iowapbs.org,Royal,52:11.0
https://www.wwfc.ca,Royal,52:09.7
CPTM,blackbyte,59:53.3
Restaurant,bianlian,56:17.6
St. Rose Hospital,bianlian,56:16.6
MITCON Consultancy and Engineering Services,bianlian,56:15.3
*********** E*****,bianlian,56:14.4
SOFTEQ.COM FILES PART4 - dev-uDSMS-CMA PUBLISHED,clop,55:55.7
LOESCHGROUP.DE FILES PART11 - 192.168.101.34\DATEN\Media\12_Kataloge\00_vor 2022\ PUBLISHE,clop,55:54.8
ORDEREXPRESS.COM.MX FILES PART12 - 10.10.1.160 PUBLISHED,clop,55:53.8
portodelisboa.pt,LockBit3.0,46:58.9
"JAKKS Pacific, Inc.",alphv,44:03.3
SUMITOMO BAKELITE USA,alphv,44:02.7
http://www.emoneyfinance.com.au,Royal,51:37.0
"Hundred thousands of personal data, leak preview",ragnarlocker,51:08.5
Centro Turistico Giovanile,snatch,58:16.8
ET GLOBAL,snatch,58:16.0
Square Yards,snatch,58:15.1
TCL Chinese Theatres,snatch,58:14.4
"Trubee, Collins & Co",snatch,58:13.5
Einatec,snatch,58:12.6
http://www.buildersmutual.com,Royal,48:29.5
http://www.intrado.com,Royal,53:07.7
https://www.inforlandia.com,Royal,48:32.2
https://www.helma.de/,Royal,48:31.7
https://www.grupoibiapina.com.br,Royal,48:30.5
pu.edu.lb,cuba,54:03.3
Empresas Públicas de Medellín,alphv,03:34.4
FARMS.COM,alphv,03:33.7
CR&R,alphv,03:32.8
Meyer & Meyer Holding SE & Co. KG,alphv,03:32.0
SSI Schäfer Shop,alphv,03:30.7
"FURETANK,SIRIUS SHIPPING,VAS,DONSONET",Play,54:25.1
https://www.robinsonpharma.com,Royal,09:13.4
https://www.fantasyspringsresort.com,Royal,09:12.5
G.R. Sponaugle,unsafeleak,52:47.6
Wings Etc,unsafeleak,52:46.9
Dooly County School System,unsafeleak,52:46.2
Whatcom County Library System,unsafeleak,52:45.5
The Chedi Muscat,unsafeleak,52:44.7
Barakat Travel Co,unsafeleak,52:44.1
Ucar,unsafeleak,52:43.0
STRESSER ASSOCIATES CPA,alphv,02:58.0
https://www.atlatec.com,Royal,04:26.9
Republic of Vanuatu,ransomhouse,32:35.0
aristopharma.com,LockBit3.0,48:25.3
Myofficeplace Inc.,bianlian,02:09.4
SEMITEC Corporation,bianlian,02:08.6
*****,bianlian,02:07.6
Realstar Holdings Partnership,bianlian,42:20.6
https://www.aegea.com.br,Royal,51:37.2
https://www.rech.com.br,Royal,51:36.5
excentiahumanservices.org,LockBit3.0,51:32.3
bavelloni.com,LockBit3.0,51:30.5
thedonovancompany.com,LockBit3.0,43:53.6
Strem Chemicals,ransomhouse,43:49.3
Bregman Berbert Schwartz & Gilday,alphv,43:46.7
Protecmedia,alphv,43:45.8
Every one of you been a good customer this year,monti,49:58.0
maxionwheels.com,LockBit3.0,28:32.8
SOFTEQ.COM FILES PART3 - srv-uLibrary PUBLISHED,clop,43:21.2
LOESCHGROUP.DE FILES PART10 - 192.168.101.34\DATEN\Media\12_Kataloge\00_vor 2022\ PUBLISHE,clop,43:20.5
ORDEREXPRESS.COM.MX FILES PART11 - 10.10.1.97 PUBLISHED,clop,43:19.9
MHMR Authority Of Brazos Valley,hiveleak,01:17.7
Cervecería Regional,Play,54:37.2
"F???????, ???, D????????, T???????, S?????????????",Play,54:36.3
The Gucciardo Law Firm,bianlian,56:21.5
Berlina Tbk,bianlian,56:20.3
Alvaria,hiveleak,56:13.5
M*****,bianlian,56:11.5
M*******l***,bianlian,56:10.7
http://www.atlascommodities.com,Royal,48:14.4
Goodwill industries,karakurt,53:58.8
Interface,hiveleak,04:33.8
LIBERTY PULTRUSIONS,karakurt,46:19.9
https://www.zehnders.com,Royal,46:18.5
Serena Hotels - Leaked,ragnarlocker,45:52.5
Wrapex Industrial - Leaked,ragnarlocker,45:51.8
Innovative Education Management,hiveleak,50:10.6
Dixons Allerton Academy,hiveleak,50:09.5
"City Of Huntsville, Texas",hiveleak,50:08.0
North Idaho College,hiveleak,50:06.9
Sae-a,cuba,53:58.7
teknowsource.in,LockBit3.0,55:22.3
Xavier University of Louisiana,Vice Society,55:18.0
JAKKS Pacific Inc,hiveleak,05:13.5
Stolle Machinery,hiveleak,05:12.0
Keralty,ransomhouse,52:06.2
https://www.mark-taylor.com,Royal,57:16.7
womgroup.com,LockBit3.0,57:54.2
mayflowerdentalgroup.com,LockBit3.0,57:51.9
jka.co.uk,LockBit3.0,57:50.6
agriobtentions.com,LockBit3.0,57:48.5
Monte Cristalina S.A.,LockBit3.0,57:47.4
stmc.edu.hk,LockBit3.0,49:53.9
rgvfirm.com,LockBit3.0,49:52.5
polyflor.co.nz,LockBit3.0,00:28.1
catalyst-group.co.nz,LockBit3.0,00:25.5
businesscentral.org.nz,LockBit3.0,00:24.6
senateshj.com,LockBit3.0,05:09.9
mercuryit.co.nz,LockBit3.0,05:08.4
accuro.co.nz,LockBit3.0,05:06.0
OPUS IT Services,Play,13:04.5
H-Hotels,Play,13:03.6
C???e????? ?????????????,Play,13:02.7
Creta Farm,Play,13:01.2
https://www.conform.it,Royal,29:23.8
S??????????,Play,44:36.9
Australian Real Estate Group Pty Ltd,bianlian,45:01.1
University Institute of Technology of Paris,Vice Society,47:01.3
Bevolution Group,karakurt,50:43.4
TLC,karakurt,50:42.7
Publicare,Vice Society,50:36.1
SOFTEQ.COM FILES PART2 - dev-service-cc PUBLISHED,clop,50:20.5
LOESCHGROUP.DE FILES PART9 - 192.168.101.34\DATEN\Media\ PUBLISHED,clop,50:19.6
ORDEREXPRESS.COM.MX FILES PART10 - 10.10.1.33\C$\Users\emmanuel.herrera\ PUBLISHED,clop,50:18.8
http://molcy.com,Royal,57:43.3
Arsat,Play,46:24.1
JMicron,Play,46:23.2
Gage Brothers,karakurt,11:56.2
Universidade Catolica Portuguesa,Vice Society,50:11.7
https://www.leohamel.com,Royal,17:39.5
Hci Systems Inc,bianlian,17:37.5
Eureka Casino Resort,bianlian,17:36.7
Emilio Sanchez American School,bianlian,17:35.9
Aria systems,bianlian,17:35.1
CIMT College,bianlian,17:34.3
ZXP Technologies,bianlian,17:33.3
http://vincentfister.com,Royal,10:12.0
Events DC,alphv,00:47.1
mcft.com,LockBit3.0,49:42.7
Bailey Cavalieri LLC,alphv,09:07.1
Mark-Taylor,hiveleak,54:32.8
Expand Group,hiveleak,54:31.5
TEIJIN AUTOMOTIVE TECHNOLOGIES,alphv,19:29.5
Austria Presse Agentur,Play,04:21.1
Skoda Praha,Play,04:20.3
MME Group,Play,04:19.0
Ban Leong Technologies Ltd,mallox,04:17.7
Batesville Products,karakurt,51:38.6
ITONCLOUD - LEAKED,ragnarlocker,51:14.7
Pella,blackbasta,04:50.0
http://www.pinnaclecommunications.com,Royal,48:47.9
PARIC CORPORATION,alphv,54:43.8
Schnee Berger,alphv,54:39.0
V3 Companies,alphv,54:37.7
VFS,Play,01:55.8
Cetrogar,Play,01:55.0
Modular Mining Systems,bianlian,13:16.6
BRYCON Construction,bianlian,13:15.9
*****a*** law,bianlian,13:14.4
veolus.com,LockBit3.0,22:01.4
tdtu.edu.vn,LockBit3.0,22:00.6
sentecgroup.com,LockBit3.0,21:59.7
rkfoodland.com,LockBit3.0,21:59.0
luxeprint.com.tw,LockBit3.0,21:57.0
k-toko.com,LockBit3.0,21:56.0
jieh.vn,LockBit3.0,21:55.3
financierareyes.com.mx,LockBit3.0,21:54.1
dof.ca.gov,LockBit3.0,21:53.4
amazing-global.com,LockBit3.0,21:52.2
2networkit,cuba,05:17.6
Una Seguros,Play,01:15.8
Antwerpen,Play,52:37.9
REC Silicon,ransomexx,01:04.2
Municipalidad de belen,karakurt,51:20.9
William A. Kibbe & Associates,karakurt,54:03.0
Infinitum,karakurt,54:02.5
Hiersun Jewelry Co Ltd,karakurt,54:01.6
Energy Transfer Durafin Tubes,karakurt,54:01.1
KINSHOFER GmbH,karakurt,54:00.3
APSM Systems,karakurt,53:59.1
Latitude 37,karakurt,53:58.3
South Jersey Glass & Doors,karakurt,53:57.2
APECQ,karakurt,53:56.4
Bergamo Metal,karakurt,53:55.6
Metroclean,karakurt,53:54.9
Davenport Community School,karakurt,53:54.1
Qualified Staffing,karakurt,53:53.4
Özel GözAkademi Hastanesi,karakurt,53:52.5
Medilife Hastanesi,karakurt,53:51.8
ipb Baggenstos Montagen,karakurt,53:51.1
The Summit,karakurt,53:50.3
Urban,karakurt,53:49.2
San Benito Consolidated Independent School District,karakurt,53:48.3
Schrader-Pacific International,karakurt,53:47.3
Regulatory Authority for Telecommunications and Posts (ARTP),karakurt,53:46.5
Vercity,karakurt,53:45.9
Deerberg,karakurt,53:45.2
Trantor,karakurt,53:44.5
R1 Group,karakurt,53:43.7
Club Asteria Belek,karakurt,53:42.8
Cheval Electronic Enclosure,karakurt,53:42.1
Cromwell Management Inc.,karakurt,53:41.2
Ethigen Limited,karakurt,53:40.5
Abdullah Al-Othaim Markets,karakurt,53:39.8
