Date,Company,Category,Victim website,Victim country,Group,Ransom demand,Exfiltrated data amount,Exfiltrated data type:,Leaked data:,Ransom deadline:
01-02-2023,VISION TECHNOLOGIES,IT/Technology,visiontechnologies.com,USA,BlackCat,N/A,994 GB,N/A,All the data exfiltrated,N/A
01-02-2023,SOCIETA ITALIANA BREVETTI SPA,Law Services,sib.it,Italy,Vice Society,N/A,N/A,Miscellaneous,/,N/A
01-02-2023,TECHINSIGHTS,Semiconductor Manufacturing,semiconductor.com,Canada,Vice Society,N/A,N/A,Miscellaneous,/,N/A
01-02-2023,TK ELEVATOR,Industrial Machinery Manufacturing,tkelevator.com,Germany,Royal,N/A,N/A,N/A,/,N/A
02-02-2023,SOTO CONSULTING ENGINEERS,Mechanical Or Industrial Engineering,soto.com.au,Australia,BlackCat,N/A,356 GB,Miscellaneous documents,"Internal Company Data (Employees personal data, CV?s, DL?s, ID?s, Financial",Expired
02-02-2023,PHARMAGESTAO,Facilities Services,pharmagestao.com.br,Brasil,LockBit3.0,N/A,N/A,N/A,/,21st Feb 2023
02-02-2023,GUILDFORD COUNTY SCHOOL,School,guildfordcounty.co.uk,United Kingdom,Vice Society,N/A,N/A,Miscellaneous documents,/,N/A
02-02-2023,CASA LEY,Retail Groceries,casaley.com.mx,Mexico,Royal,N/A,N/A,N/A,/,N/A
03-02-2023,MCEWAN FRASER Law,Real Estate,mcewanfraserLaw.co.uk,United Kingdom,BlackCat,N/A,323 GB,"Internal Company Data (Employees personal data, CV?s, DL?s, ID?s, Passports,",Sample with screenshots of PII,N/A
03-02-2023,MESSER CUTTING SYSTEMS,Machinery Manufacturing,us.messer-cutting.com,USA,Royal,N/A,600 GB,"Personal data, HR, finance, projects, mailboxes",20% of the total amount,14-Feb-23
03-02-2023,GUARDIAN ANALYTICS,fraud prevention solutions,guardiananalytics.com,USA,LockBit3.0,N/A,"11,5 GB",Miscellaneous documents,Sample with miscellaneous documents,18th Feb 2023
03-02-2023,SEEL,Oil and Gas,seelllc.com,USA,LockBit3.0,N/A,230 GB,Miscellaneous documents,Sample with miscellaneous documents,21st Feb 23
03-02-2023,BIOSONICS,Environmental Services,biosonicsinc.com,USA,LockBit3.0,N/A,228 GB,Miscellaneous documents,Sample with miscellaneous documents,19th Feb 23
03-02-2023,KOSTICA,Construction,kostika.co.il,Israel,LockBit3.0,N/A,250 GB,N/A,/,20th Feb 23
03-02-2023,AVANTE TEXTIL,Textile Manufacturing,avantetextil.com.mx,Mexico,LockBit3.0,N/A,350 GB,Miscellaneous documents,Sample with miscellaneous documents,23rd Feb 23
03-02-2023,PITT MEADOWS SCHOOL DISTRICT 42,School district,sd42.ca,Canada,N/A,N/A,"18,850 records",Students? information,"Email addresses, passwords, usernames",N/A
03-02-2023,NEIGHBORHOOD Law SERVICES MICHIGAN,Non-profit Organizations,nlsmichigan.org,USA,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,19th Feb 23
03-02-2023,???? COMPUTER S.A,IT/Technology,byte.gr,Greece,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,23rd Feb 23
03-02-2023,FABRICATED PIPE,Oil and Gas,fabricatedpipe.com,USA,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,21st Feb 23
03-02-2023,SCANDIA FOOD,Food and Beverage Services,scandia.ro,Romania,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,23rd Feb 23
