Date,Company,Category,Victim website,Victim country,Attacker name,Ransom demand,Exfiltrated data amount,Exfiltrated data type:,Leaked data:,Ransom deadline:,Generalize,,,,,,,,,,,,,,
01-01-2023,EDS AUTOMOTIVE GMBH,Motor Vehicle Manufacturing,eds-automotive.de,Germany,LockBit3.0,$ 100000,N/A,Miscellaneous documents,70% of the total amount exfiltrated,01st Jan 23,Manufacture,,,,,,,,,,,,,,
01-01-2023,CDER,Pharmaceutical Manufacturing,cder.fr,France,Play,N/A,5 GB,"Personal, private data, clients? documents, agreements, passports, id etc.",All exfiltrated data,08th Jan 23,Manufacture,,,,,,,,,,,,,,
02-01-2023,STRATACACHE,IT/Technology,stratacache.com,USA,Play,N/A,89 GB,"Personal, private data, tax forms, employee forms, i-9, w-4, passports, SSN,",All exfiltrated data,04th Jan 23,IT,,,,,,,,,,,,,,
02-01-2023,SUNY POLYTECHNIC INSTITUTE,Education,sunypoly.edu,USA,Play,N/A,5 GB,"Private, personal data, SSN, IDs, passports, confident contracts etc.",All exfiltrated data,04th Jan 23,Service,,,,,,,,,,,,,,
03-01-2023,UTC AEROSPACE SYSTEMS | BOMBARDIER,Aviation and Aerospace Component Manufacturing,collinsaerospace.com|bombardier.com,Canada,Everest,N/A,N/A,"Corporate email access, Personal data of employees, department, internal","All exfiltrated data on sale for $30,000",N/A,Manufacture,,,,,,,,,,,,,,
03-01-2023,SIRIUS SHIPPING,Transportation,siriusshipping.eu,Sweden,Play,N/A,270 GB,"Personal documents, private data, forms, agreement, passports, crew lists,",All exfiltrated data,04th Jan 23,Service,,,,,,,,,,,,,,
03-01-2023,FURETANK,Logistics,furetank.se,Sweden,Play,N/A,48 GB,"Personal documents, private data, forms, agreement, contracts, IDs, shipment",All exfiltrated data,04th Jan 23,Service,,,,,,,,,,,,,,
03-01-2023,TARNTANK SHIP MANAGEMENT,Transportation & Logistics,terntank.com,Sweden,Play,N/A,5 GB,"Waybills, cargo information, personal documents, private data, contracts,",All exfiltrated data amount,04th Jan 23,Logistics,,,,,,,,,,,,,,
03-01-2023,DENTAL ONE,Medical,dental1.com.au,Australia,BlackCat,N/A,6 GB,Miscellaneous documents,Sample with screenshots of miscellaneous documents,N/A,Medical,,,,,,,,,,,,,,
04-01-2023,COMMUNITY ACTION PARTNERSHIP OF MADERA COUNTY (CAPMC),Social Services,maderacap.org,USA,BlackByte,"$ 200,000",N/A,Miscellaneous documents,Sample with screenshots of miscellaneous documents,N/A,Service,,,,,,,,,,,,,,
05-01-2023,ELLISON TECHNOLOGIES,IT/Technology,ellisontechnologies.com,USA,BlackByte,"$ 500,000",N/A,Miscellaneous documents,Sample with screenshots of miscellaneous documents,N/A,IT,,,,,,,,,,,,,,
05-01-2023,SUZHOU DONGSHAN PRECISION MANUFACTURING,Industrial Machinery Manufacturing,dsbj.com,China,Play,N/A,N/A,N/A,/,N/A,Manufacture,,,,,,,,,,,,,,
05-01-2023,HAYWARD,Business,hayward-pool.com,USA,BlackByte,N/A,N/A,N/A,All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
05-01-2023,KANSAS CITY HOMES,Real estate,kansascityhomes.com,USA,BlackByte,N/A,N/A,N/A,All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
06-01-2023,BAY AREA RAPID TRANSIT,Transportation,bart.Public Sector,USA,Vice Society,N/A,"120,000 files","Unredacted reports detailing suspected child abuse, including the children?s",All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
06-01-2023,CONSULATE HEALTH CARE,Health Care,consulatehc.com,USA,Hive,N/A,550 GB,"Contracts and other agreements documents company private info (budgets, plans,",All the exfiltrated data,N/A,Medical,,,,,,,,,,,,,,
06-01-2023,LETMEREPAIR,IT/Technology,letmerepair.com,Belgium,Vice Society,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,N/A,IT,,,,,,,,,,,,,,
06-01-2023,PROQUINAL SPRADLING GROU,Floor manufacturing,proquinal.com,Colombia,Vice Society,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,N/A,Service,,,,,,,,,,,,,,
06-01-2023,SUB-DRILL SUPPLY,Oil and Gas,sub-drill.com,USA,Vice Society,N/A,N/A,Miscellaneous documents,Sample with miscellaneous documents,N/A,Oil and Gas,,,,,,,,,,,,,,
06-01-2023,BEVOLUTION GROUP,Food manufacturing,bevolutiongroup.com,USA,Royal,N/A,N/A,Miscellaneous documents,20% of the total amount exfiltrated,N/A,Service,,,,,,,,,,,,,,
06-01-2023,LEK / HABO,Machinery Manufacturing,lekhabo.nl,Netherlands,Royal,N/A,N/A,N/A,/,N/A,Manufacture,,,,,,,,,,,,,,
07-01-2023,PENDULUM ASSOCIATES,Financial Services,pendulum.com.mx,Mexico,BlackCat,N/A,N/A,"Over 30,000 of client?s personal data",100% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
07-01-2023,BUFFCO PRODUCTION,Oil and Gas,buffcoproduction.com,USA,BlackCat,N/A,956 GB,"Internal Company Data (Employees personal data, CV?s, DL?s, ID?s, SSN?s,",Sample with screenshots of miscellaneous documents,N/A,Oil and Gas,,,,,,,,,,,,,,
07-01-2023,AYUNTAMIENTO DE JU?REZ,Public Sector,juarez.gob.mx,Mexico,LockBit3.0,N/A,N/A,N/A,All the exfiltrated data,19th Jan 23,public sector,,,,,,,,,,,,,,
07-01-2023,CITY LIT,College,citylit.ac.uk,United Kingdom,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree,N/A,Education,,,,,,,,,,,,,,
07-01-2023,GRUPO ESTRATEGAS EMM,Insurance,estrategas.com.mx,Mexico,BlackCat,N/A,N/A,"Information about inner documentation and all your clients ? Afirme, Banorte,",/,N/A,Insurance,,,,,,,,,,,,,,
07-01-2023,PARK VIEW,School,parkview.haringey.sch.uk,United Kingdom,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree,N/A,Education,,,,,,,,,,,,,,
07-01-2023,100% BANCO,Bank,100x100banco.com,Venezuela,LockBit3.0,N/A,N/A,Miscellaneous documents,All the exfiltrated data,19th Jan 23,Bank,,,,,,,,,,,,,,
07-01-2023,DUTY FREE PHILIPPINES,Retail,dfp.com.ph,Philippines,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree,N/A,Service,,,,,,,,,,,,,,
07-01-2023,SWIFT ACADEMIES,School,swiftacademies.org.uk,UNITED KINGDOM,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree,N/A,Education,,,,,,,,,,,,,,
07-01-2023,TAKAMIYA,Business,takamiya.co,Japan,LockBit3.0,N/A,N/A,N/A,All the exfiltrated data,21st Jan 23,Service,,,,,,,,,,,,,,
08-01-2023,FRUTTAGEL,Food manufacturing,fruttagel.it,Italy,BlackCat,N/A,755 GB,"Financial and corporate documents, customer data from bank cards",Screenshots with sample of miscellaneous and PII documents,N/A,Service,,,,,,,,,,,,,,
08-01-2023,KOO WEE RUP SECONDARY COLLEGE,School,kwrsc.vic.edu.au,Australia,BlackCat,N/A,105 GB,"school private info (security cameras records, budgets, plans, evaluations,",/,N/A,Education,,,,,,,,,,,,,,
08-01-2023,MILLENNIA,Engineering,millennia.pro,US,LockBit3.0,"$ 300,000",22.44 GB,N/A,All the exfiltrated data,10th Feb 23,Service,,,,,,,,,,,,,,
08-01-2023,ASIAN REINSURANCE CORPORATION,Insurance,asianrecorp.com,Thailand,LockBit3.0,"$ 30,000",N/A,N/A,All the exfiltrated data,29th Jan 23,Insurance,,,,,,,,,,,,,,
08-01-2023,ORDER EXPRESS,Financial Services,orderexpress.com.mx,Mexico,Cl0p,N/A,N/A,"Information about many people, business process and practice",Sample with screenshots of PII documents,19th Sep 23,Service,,,,,,,,,,,,,,
08-01-2023,LOESCH,Wholesale,loeschgroup.de,Germany,Cl0p,N/A,N/A,Miscellaneous documents,All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
08-01-2023,SOFTEQ,IT/Technology,softeq.com,USA,Cl0p,N/A,N/A,Miscellaneous documents,All the exfiltrated data,N/A,IT,,,,,,,,,,,,,,
09-01-2023,AVIACODE,Medical,aviacode.com,USA,0mega,N/A,235 GB,Miscellaneous documents,All the exfiltrated data,Expired,Medical,,,,,,,,,,,,,,
09-01-2023,RIVER CITY SCIENCE ACADEMY,Education,rivercityscience.org,USA,Karakurt,N/A,63 GB,"financials, executive and accounting information as well as a great amount of",All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
10-01-2023,DATAIR,Software and finance,datair.com,USA,LockBit3.0,$ 250000,N/A,N/A,/,15th Jan 23,IT,,,,,,,,,,,,,,
10-01-2023,CHESTERTONS INC.,Real estate,chestertons.co.uk,United Kingdom,Lorenz,N/A,N/A,Miscellaneous documents,All the exfiltrated data,Expired,Service,,,,,,,,,,,,,,
10-01-2023,SHELCO,Construction,shelcollc.com,USA,Lorenz,N/A,N/A,Miscellaneous documents,95% of the total exfiltrated data,N/A,Service,,,,,,,,,,,,,,
10-01-2023,THOR SPECIALTIES,Chemical Manufacturing,thorsp.com,USA,Lorenz,N/A,N/A,Miscellaneous documents,80% of the total exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
11-01-2023,CIRCLEVILLE MUNICIPAL COURT,Law,circlevillecourt.com,USA,LockBit3.0,"$ 199,000",500 GB,Customer data. Nanny criminals. Case information. And much more.,All the exfiltrated data,Expired,Law,,,,,,,,,,,,,,
11-01-2023,TIME TECHNOPLAST LIMITED,Packaging and Containers Manufacturing,timetechnoplast.com,India,BlackCat,N/A,150 GB,Financial documents and reports ? Analytical and strategic documents ?,Sample with screenshots of miscellaneous documents,N/A,Manufacture,,,,,,,,,,,,,,
11-01-2023,G.W. BECKER,Machinery Manufacturing,gwbcrane.com,USA,Hive,N/A,N/A,N/A,All the exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
