Post,Group,Date
Welcome to new customers!,shaoleaks,49:50.2
Some of our customers was not payed to us for data decryption. So we publish some of his d,shaoleaks,49:49.7
Update for boxerproperty,shaoleaks,49:49.2
Greetings to havi.com and tmsw.com,shaoleaks,49:48.6
Genesys Aerosystems,blackbasta,43:52.3
STECINT_2,blackbasta,44:49.6
CADEPLOY,blackbasta,44:48.9
thalesgroup.com,LockBit3.0,52:55.7
HENSOLDT France,snatch,56:27.5
will-b.jp,LockBit3.0,44:47.6
santimuni.com,LockBit3.0,44:46.7
happmobi.com.br,LockBit3.0,44:45.2
exco.fr,LockBit3.0,44:44.7
coopavegra.fi.cr,LockBit3.0,44:44.0
bellettiascensori.it,LockBit3.0,44:43.1
aaanchorbolt.com,LockBit3.0,44:42.4
zurifurniture.com,LockBit3.0,58:17.0
sociedadbilbaina.com,LockBit3.0,58:16.1
seamlessglobalsolutions.com,LockBit3.0,58:15.2
macrotel.com.ar,LockBit3.0,58:13.9
hoosierco.com,LockBit3.0,58:12.9
gruposanford.com,LockBit3.0,58:11.9
close-upinternational.com.uy,LockBit3.0,58:10.4
cacula.com,LockBit3.0,58:09.8
byp-global.com,LockBit3.0,58:08.7
railway.gov.tw,LockBit3.0,29:43.8
lincare.com,LockBit3.0,29:41.5
saurer.com,LockBit3.0,47:40.0
Network Communications Inc,alphv,48:44.4
Kolas Law Firm,alphv,48:42.0
Asahi Group,blackbyte,02:32.0
fvsra.org,LockBit3.0,11:51.4
greenstamp.co.jp,LockBit3.0,07:49.1
Kujalleq Municipality,Vice Society,00:23.2
Rankam China Manufacturing,alphv,00:22.2
The Bishop of Hereford's Bluecoat School,Vice Society,35:43.3
SOUTH-STAFFS-WATER.CO.UK FILES PART9 - WATER\10.80.74.231\ithome$\ PUBLISHED,clop,35:28.9
LOESCHGROUP.DE FILES PART2 - 192.168.101.34\D$\PrivateOrdner\ PUBLISHED,clop,35:28.4
ORDEREXPRESS.COM.MX FILES PART3 - customerDataBase PUBLISHED,clop,35:28.0
MARCELSOLUTION.COM FILES PART4 - SYMASOFT31-39 PUBLISHED,clop,35:27.5
"SPINNEYS.COM FILES PART14 - 192.168.254.2, SHYJU--LT.itretgrp.net PUBLISHED",clop,35:27.0
AT&T,everest,50:27.2
DURAVIT A.G. - Announcement before publishing data,ragnarlocker,36:39.4
rjyoung.com,alphv,29:39.2
Mdaemon Technologies,alphv,29:38.6
unipiloto.edu.co,alphv,29:38.0
Comando Conjunto de las Fuerzas Armadas Del Ecuador,alphv,29:37.1
Miracapo pizza company,lorenz,29:13.9
steelesolutions.com,LockBit3.0,25:52.6
tiffinmetal.com,LockBit3.0,20:31.6
Stages Pediatric Care DataBase on Sale,everest,41:56.7
CCLint,blackbyte,55:09.8
Municipio de Chihuahua,blackbyte,55:09.0
DURAVIT A.G. - Last Call,ragnarlocker,50:35.6
Associated Lighting Representatives,blackbasta,36:41.6
Essick Air Products,blackbasta,36:41.2
sskb.com.au,LockBit3.0,37:34.8
Rundle Eye Care DataBase Leak,everest,06:38.6
Lantek Systems In?,ransomhouse,31:47.5
Tata Power,hiveleak,32:09.1
pendragonplc.com,LockBit3.0,25:03.8
Kenosha Unified School District,snatch,30:17.7
SOUTH-STAFFS-WATER.CO.UK FILES WATER\10.80.74.231\ PUBLISHED,clop,43:59.1
PRICEDEX.COM FILES PART21 - 10.0.100.45 PUBLISHED,clop,43:57.0
"LOESCHGROUP.DE FILES PART1 - 192.168.12.20, 192.168.12.65, 192.168.12.122, ls-srv-fs02 PUB",clop,43:54.4
"ORDEREXPRESS.COM.MX FILES PART2 - 10.10.1.22, 10.10.1.23, 10.10.1.73, 10.10.1.170, 10.10.1",clop,43:51.8
"MARCELSOLUTION.COM FILES PART3 - SYMASOFT10,11,12,15,17,19,21,22,23 PUBLISHED",clop,43:49.1
SPINNEYS.COM FILES PART13 - 192.6.14.205 PUBLISHED,clop,43:47.1
Grupo Jaime Camara,Vice Society,15:12.0
TMShipping,Vice Society,15:10.4
HALYVOURGIKI.S.A.,Vice Society,15:08.5
Marist College Ashgrove,Vice Society,15:06.4
Pate's Grammar School,Vice Society,15:04.1
Test Valley School,Vice Society,15:02.1
Mars Area School District,Vice Society,15:00.0
Maternite des Bluets,Vice Society,14:57.0
Egyptian Electric Cooperative Association,alphv,30:08.3
UNE,blackbyte,30:37.4
Stages Pediatric Care New 250 personal records,everest,41:45.3
Diamond Mowers,blackbasta,42:19.5
Lightbank,quantum,34:37.2
Pitman Family Farms,blackbyte,34:17.7
EDC3,blackbasta,45:05.3
J.M. Rodgers Co.,blackbasta,45:03.2
ALRO,blackbasta,45:01.0
STONE1,blackbasta,44:58.7
Stages Pediatric Care New 40 personal records,everest,44:46.8
KEMET,alphv,31:09.9
METASYS,blackbasta,49:08.6
TSC,blackbasta,43:58.0
A G Equipment Company,blackbasta,43:56.1
BOOTZ,blackbasta,43:52.6
SOUTH-STAFFS-WATER.CO.UK FILES PART2 - water\ PUBLISHED,clop,41:48.2
PRICEDEX.COM FILES PART15 - 10.0.10.1\E$\Shares\projects\Marketing and Business\Opticat\ P,clop,41:45.9
NEWCOURSECC.COM FILES PART16 - 10.168.40.27\D$\FTP\ PUBLISHED,clop,41:43.7
ORBITELECTRIC.COM FILES PART22 - F\ PUBLISHED,clop,41:42.2
FERRAN-SERVICES.COM FILES PART15 - D\Users Shared Drive\ PUBLISHED,clop,41:40.7
SPINNEYS.COM FILES PART7 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\F2\2019\ PUBLI,clop,41:39.1
LATOURNERIE-WOLFROM.COM FILES PART15 - 10.100.57.131\C$\Users\CW\Documents\ PUBLISHED,clop,41:37.5
